客场队名,主场队名,客场胜,客场负,主场胜,主场负,客场比分,主场比分
4,25,39,23,26,34,84,98
4,121,40,27,36,29,100,109
25,4,30,36,40,28,86,103
65,4,41,27,41,28,92,108
4,65,43,29,42,29,116,103
4,32,45,29,36,38,91,95
18,4,29,46,45,30,82,88
4,93,46,31,24,53,103,105
4,86,46,32,35,43,89,78
4,37,48,32,37,43,113,86
72,4,60,21,49,32,85,91
32,4,0,0,0,0,91,103
4,32,2,0,0,2,113,106
4,32,3,0,0,3,90,92
32,4,1,3,3,1,94,88
4,32,3,2,2,3,120,66
4,11,0,0,0,0,99,92
4,11,1,0,0,1,91,106
11,4,1,1,1,1,96,99
4,11,2,2,2,2,101,106
12,5,0,0,0,0,95,97
5,38,1,0,0,0,115,100
5,19,2,0,2,0,94,98
115,5,2,2,4,2,102,93
5,59,4,3,0,6,111,88
5,164,7,3,6,4,103,97
5,143,8,3,13,0,94,106
5,26,9,4,9,5,92,104
206,5,14,3,9,5,89,92
108,5,6,12,10,5,90,99
164,5,8,13,11,6,103,101
5,45,11,7,12,9,100,105
199,5,6,16,12,8,94,98
192,5,14,12,14,8,85,98
19,5,15,12,15,8,147,144
5,52,15,9,13,14,91,107
5,122,15,11,20,9,105,96
26,5,18,12,17,12,100,102
52,5,15,18,18,12,81,108
5,66,19,12,21,13,115,113
33,5,14,22,20,12,106,117
5,73,22,12,22,15,105,120
101,5,16,19,22,13,114,100
178,5,22,18,23,15,83,77
5,12,24,18,30,11,96,83
5,150,26,19,31,16,93,120
5,171,26,21,21,27,107,102
5,108,27,21,19,31,110,115
73,5,30,24,27,24,113,90
5,12,27,25,38,14,95,106
157,5,11,45,28,26,115,126
129,5,30,28,30,27,103,95
5,94,30,29,26,33,89,102
185,5,30,31,30,30,100,108
33,5,26,37,31,30,90,100
87,5,37,27,32,31,118,96
5,66,32,32,44,20,109,107
5,101,33,32,31,35,96,117
38,5,19,48,33,33,102,118
136,5,33,35,34,33,85,92
5,52,36,34,29,43,94,106
5,94,36,35,29,43,89,111
73,5,44,30,36,36,102,100
5,26,36,37,39,34,98,96
5,185,37,37,37,38,103,100
19,5,40,36,38,37,94,90
5,87,39,39,45,32,98,106
12,5,56,23,39,40,102,105
5,199,40,40,30,50,121,116
59,5,10,71,41,40,105,115
46,6,1,0,0,0,99,105
6,39,2,0,1,2,118,88
53,6,1,3,3,1,117,104
6,27,3,2,2,3,94,111
95,6,3,3,3,3,80,112
6,88,4,4,2,4,98,95
102,6,2,6,5,4,95,106
6,137,7,4,7,5,85,77
6,158,8,5,7,6,118,110
6,109,9,5,5,8,107,110
13,6,13,4,10,7,105,111
6,179,11,7,3,15,82,107
6,20,11,9,11,11,91,102
207,6,18,4,11,10,91,95
20,6,14,15,13,13,82,113
102,6,12,15,14,13,107,97
39,6,8,22,15,16,99,101
6,27,16,16,15,18,101,111
34,6,15,16,16,17,116,96
6,13,17,18,26,7,106,94
67,6,24,11,18,18,118,123
123,6,22,16,19,18,109,94
6,193,20,21,25,17,108,104
172,6,16,26,21,23,99,102
6,95,22,23,18,28,100,92
74,6,26,19,23,23,119,114
88,6,16,30,23,24,100,88
60,6,17,28,23,25,108,121
6,123,24,25,28,21,128,100
6,172,25,26,20,31,112,107
6,144,26,26,43,8,92,123
6,116,26,28,20,34,89,117
46,6,37,19,27,29,103,104
6,13,29,29,40,16,117,99
109,6,26,33,30,29,125,107
144,6,50,10,30,30,87,94
151,6,36,25,31,30,101,91
6,20,31,31,30,32,95,109
6,95,31,32,23,41,91,98
6,46,31,34,41,25,80,100
193,6,37,30,32,35,98,91
137,6,43,26,32,37,86,95
6,67,33,37,41,29,120,122
20,6,34,37,33,38,95,117
60,6,26,45,34,38,117,107
13,6,47,26,35,39,93,99
74,6,39,36,36,39,104,106
6,200,37,39,33,43,117,110
6,53,38,39,29,48,91,100
6,60,38,40,28,50,102,90
95,6,28,52,39,41,75,122
39,6,20,61,40,41,73,112
6,46,0,0,0,0,106,102
6,46,1,0,0,1,111,97
46,6,1,2,2,1,104,95
6,46,2,2,2,2,97,108
46,6,3,2,2,3,105,83
124,47,2,0,1,1,100,95
96,47,1,2,2,2,91,112
54,47,1,5,3,2,106,96
138,47,5,2,3,4,122,117
47,110,3,5,2,7,103,112
180,47,2,6,3,6,104,96
47,145,5,8,1,12,124,115
68,47,9,7,8,8,99,90
47,61,11,9,8,11,116,99
103,47,14,8,15,9,125,129
82,47,19,8,16,10,113,91
47,7,16,11,7,19,102,109
47,89,18,13,20,12,103,112
21,47,14,17,18,14,92,98
201,47,29,4,19,14,115,128
47,152,21,14,26,11,87,109
47,124,21,15,20,18,100,86
47,131,22,15,25,13,125,131
166,47,8,28,22,16,93,83
159,47,17,21,22,17,129,121
47,180,22,18,19,23,89,104
47,117,22,20,27,15,98,101
14,47,17,30,24,22,106,124
173,47,32,15,25,22,113,97
47,54,25,23,22,26,98,100
54,47,23,26,25,24,103,117
28,47,22,34,28,26,108,114
47,7,29,26,10,47,109,115
47,82,29,27,43,16,91,86
47,89,30,27,38,22,110,116
7,47,11,49,31,28,119,115
131,47,33,30,32,29,109,131
47,187,33,29,36,29,110,108
47,173,34,29,46,18,109,127
21,47,27,38,34,30,106,93
47,21,34,31,28,38,117,119
47,14,35,32,24,44,95,99
47,28,35,33,27,41,95,100
40,47,49,19,35,34,96,86
89,47,45,26,35,35,111,99
89,47,47,26,35,38,106,113
7,47,15,60,37,38,107,123
47,54,39,38,40,38,97,92
47,21,41,38,37,43,110,109
0,47,60,20,42,38,103,90
47,40,42,39,55,26,102,112
47,40,0,1,1,0,93,96
40,47,2,0,0,2,113,96
40,47,3,0,0,3,101,89
41,48,0,0,0,0,104,106
48,139,1,0,1,1,78,92
48,153,1,1,1,2,82,99
48,167,1,2,1,2,114,92
48,97,2,4,0,6,99,96
55,48,7,2,5,4,79,85
48,118,6,5,10,2,92,104
90,48,8,3,6,6,102,93
160,48,4,9,6,7,91,88
29,48,4,9,6,8,100,86
48,181,7,12,11,8,84,97
15,48,4,18,7,13,86,113
1,48,18,6,8,13,105,102
48,62,13,15,9,20,90,87
195,48,6,23,15,15,89,85
174,48,20,11,15,16,97,104
69,48,19,13,16,17,82,99
48,83,17,17,26,7,88,102
8,48,13,19,17,18,103,120
48,41,18,18,18,17,111,115
48,202,18,20,25,12,105,118
48,1,18,23,34,9,99,104
125,48,20,22,18,24,79,121
22,48,25,16,19,24,100,115
48,22,20,24,25,17,102,88
48,55,22,24,26,20,82,79
48,62,23,24,15,32,79,96
48,22,27,26,31,21,104,112
48,90,27,27,32,22,96,80
1,48,43,13,28,27,99,100
48,29,29,28,28,29,111,107
41,48,36,25,31,29,110,118
48,8,33,29,20,41,90,98
48,69,33,30,38,25,113,112
48,83,0,0,0,0,67,100
48,83,0,1,1,0,94,104
83,48,3,0,0,3,87,89
48,83,1,3,3,1,94,106
84,49,1,0,0,0,84,104
175,49,4,1,3,0,94,104
49,203,5,0,7,1,104,100
49,196,7,1,3,5,102,80
49,175,8,1,6,6,111,114
49,35,9,3,8,4,89,96
49,30,9,4,7,5,102,88
161,49,7,10,11,4,99,106
49,84,13,4,12,4,112,92
49,35,15,5,11,8,100,97
154,49,9,13,16,5,107,116
35,49,13,11,18,6,86,100
2,49,14,10,19,6,110,106
112,49,13,11,19,7,91,94
49,161,20,8,11,17,99,97
49,168,21,8,9,19,105,106
49,91,22,10,12,20,114,106
49,23,23,11,21,14,76,81
196,49,11,25,23,13,87,100
49,16,24,13,14,24,102,87
49,42,25,14,20,21,89,86
30,49,24,20,28,15,86,96
168,49,17,31,29,15,81,120
49,98,31,15,12,35,96,106
63,49,20,32,32,17,92,88
49,23,32,18,32,21,91,125
49,63,32,19,22,33,98,100
56,49,22,31,32,20,93,99
140,49,33,24,33,20,105,109
84,49,42,14,35,20,99,93
49,16,36,21,23,39,87,77
133,49,32,30,37,22,84,113
49,105,38,23,43,22,94,117
49,126,38,24,29,34,90,105
49,147,38,25,45,21,80,93
49,133,38,26,34,32,90,83
91,49,18,50,39,26,94,106
49,63,40,26,26,42,99,94
63,49,26,43,41,26,84,110
49,42,42,26,36,33,100,85
189,49,47,23,43,26,101,108
42,49,38,34,45,26,89,108
49,70,47,26,42,33,95,82
30,49,36,38,48,26,83,101
98,49,29,48,50,26,99,120
70,49,44,37,53,28,92,98
42,49,0,0,0,0,78,85
42,49,0,1,1,0,71,87
49,42,2,0,0,2,90,76
23,49,1,0,0,1,79,105
49,23,1,1,1,1,71,82
49,23,1,2,2,1,82,93
23,49,3,1,1,3,75,85
49,23,2,3,3,2,99,106
31,50,0,0,0,0,83,90
113,50,2,0,1,1,109,100
204,50,5,1,2,3,120,89
50,71,2,4,4,3,95,91
50,17,3,6,3,6,86,92
24,50,9,1,3,7,103,96
50,99,3,8,4,8,89,98
50,148,3,10,10,5,80,93
50,106,3,11,8,6,95,97
197,50,7,8,3,12,103,99
50,36,3,13,5,13,113,83
92,50,6,12,4,13,83,121
43,50,9,12,5,13,114,73
50,10,5,14,7,13,94,109
50,43,6,15,10,14,86,90
71,50,12,11,6,16,106,111
64,50,11,15,9,19,95,83
50,64,9,20,12,15,100,115
50,183,10,21,21,13,100,102
50,176,10,22,19,14,92,80
17,50,14,20,11,22,85,89
85,50,27,8,12,22,92,102
162,50,21,15,14,22,96,98
36,50,16,22,15,25,103,80
43,50,15,31,17,27,88,114
10,50,16,29,18,27,86,117
85,50,32,13,19,27,106,91
50,31,19,28,8,39,98,101
169,50,17,35,20,31,106,101
50,92,21,33,16,40,121,129
50,71,21,34,25,29,98,107
50,85,21,36,40,14,82,108
50,113,21,40,30,29,118,106
134,50,21,40,22,40,81,108
31,50,13,52,26,40,94,115
24,50,50,17,27,40,86,92
50,57,28,40,15,53,93,92
50,155,29,41,23,46,96,127
50,141,30,43,45,27,89,84
50,134,31,43,23,51,92,83
36,50,40,33,32,43,81,110
99,50,39,36,33,43,90,89
50,85,33,44,52,23,91,102
50,64,33,45,46,32,108,100
4,51,0,0,0,0,104,80
72,51,2,3,2,5,91,85
93,51,2,6,2,6,97,95
51,114,3,9,2,7,99,115
58,51,0,12,3,10,83,91
86,51,8,7,4,13,86,79
37,51,6,9,4,14,98,93
51,198,4,18,9,10,93,104
51,205,4,19,15,6,95,109
51,44,4,20,7,13,101,95
177,51,17,8,5,21,107,87
51,170,5,26,12,17,129,135
51,149,5,28,21,11,78,99
18,51,8,23,5,29,97,81
32,51,17,17,5,30,95,82
51,191,5,31,24,9,83,105
51,100,5,32,23,11,91,101
184,51,24,11,5,33,120,96
93,51,15,30,7,36,106,113
51,25,9,37,16,31,82,103
156,51,13,34,9,38,80,92
51,86,10,41,21,29,95,109
11,51,34,22,10,44,101,83
51,44,10,45,21,33,94,115
65,51,37,21,11,46,98,103
51,25,12,47,25,34,82,105
25,51,27,34,12,48,92,86
51,107,12,49,22,41,78,106
51,135,12,50,26,36,82,87
51,142,13,51,51,13,94,125
51,163,13,52,34,33,89,102
114,51,14,53,14,53,95,92
51,65,14,55,41,28,89,106
191,51,49,21,14,56,103,82
149,51,46,25,14,57,111,80
44,51,31,40,14,58,96,92
51,4,14,59,44,29,80,111
37,51,33,40,14,60,100,98
51,100,14,61,42,33,87,101
58,51,18,59,14,62,91,101
25,51,34,43,15,62,102,86
32,51,38,40,15,63,99,91
52,33,0,0,0,0,122,97
206,52,2,1,2,1,94,84
12,52,7,1,4,5,90,84
52,122,6,6,7,5,93,90
52,87,8,6,8,4,78,95
87,52,9,5,8,8,97,78
59,52,1,18,8,10,87,99
38,52,5,13,9,10,91,108
52,33,10,10,7,13,91,106
52,129,10,14,10,14,112,110
115,52,9,15,11,14,102,107
52,59,12,14,1,26,107,97
5,52,15,9,13,14,91,107
94,52,15,12,14,14,107,99
52,12,14,15,18,7,84,91
52,73,14,16,19,12,98,117
52,45,14,17,17,13,91,100
52,5,15,18,18,12,81,108
33,52,15,23,18,20,88,100
45,52,19,18,19,20,114,120
59,52,5,37,20,22,113,119
136,52,18,23,21,22,111,118
52,66,22,25,30,15,93,103
164,52,14,33,22,26,84,102
143,52,43,4,23,26,116,95
45,52,27,22,23,27,97,89
52,19,23,28,26,24,105,111
192,52,29,20,23,29,91,85
108,52,20,31,23,30,101,96
52,38,23,32,14,40,98,109
52,115,23,33,17,38,103,95
87,52,32,26,25,35,98,81
52,45,25,37,37,25,104,105
19,52,31,30,25,38,89,102
52,108,26,38,25,38,94,110
52,164,26,39,17,46,128,97
52,143,28,40,60,6,85,121
171,52,26,42,28,42,88,80
5,52,36,34,29,43,94,106
12,52,51,21,30,43,107,93
52,199,30,44,26,46,91,99
52,178,30,45,36,38,89,91
26,52,40,36,31,46,92,87
52,59,31,48,10,68,109,102
66,52,53,26,32,48,93,89
193,53,1,0,0,1,104,111
53,20,1,1,2,1,89,102
186,53,2,2,1,2,118,99
53,6,1,3,3,1,117,104
137,53,3,3,2,3,114,109
53,46,3,4,3,4,87,115
53,67,3,5,6,2,107,118
179,53,2,6,3,6,77,93
74,53,9,3,5,7,94,104
53,116,8,9,5,12,106,104
172,53,7,12,10,9,98,106
53,88,11,9,7,13,114,103
13,53,14,5,12,9,126,94
53,172,12,10,8,13,103,100
53,109,14,12,10,16,114,127
27,53,15,14,14,13,111,118
95,53,13,17,15,13,95,106
46,53,17,13,16,13,119,114
53,186,16,16,25,9,122,129
95,53,15,20,16,17,115,103
34,53,17,16,16,18,105,104
53,34,16,19,18,16,116,111
6,53,19,20,17,22,89,104
53,67,18,22,26,13,101,116
53,46,18,24,26,15,117,106
102,53,22,19,19,24,113,110
165,53,13,29,19,25,107,105
53,179,20,26,15,29,95,103
53,74,21,27,27,20,139,142
53,39,21,29,9,39,95,90
13,53,33,15,22,29,111,104
158,53,17,36,22,30,121,107
53,123,23,33,31,25,105,116
53,13,23,34,39,16,104,119
53,95,24,36,22,38,101,90
53,60,25,36,22,38,102,105
144,53,50,11,25,37,112,105
53,34,26,38,29,33,93,104
53,20,26,39,32,33,92,112
53,39,26,40,11,53,112,120
27,53,34,32,26,41,81,87
39,53,12,54,27,41,121,110
53,151,27,42,41,29,105,114
53,137,27,43,43,28,101,108
53,130,27,44,32,38,95,110
53,207,27,45,55,16,98,106
46,53,49,27,29,47,110,94
102,53,47,31,30,48,106,103
53,193,30,49,42,37,88,101
67,53,49,31,30,50,110,97
60,53,28,53,30,51,113,114
131,117,0,2,2,0,120,99
61,131,1,2,1,2,108,125
131,138,2,2,3,1,78,85
145,131,1,5,2,3,107,109
131,89,4,3,5,1,104,94
117,131,5,4,7,3,115,108
166,131,4,8,9,5,83,94
152,131,13,2,11,5,96,102
28,131,6,10,13,5,88,109
21,131,9,7,14,5,88,110
173,131,14,4,15,5,93,81
187,131,8,13,15,6,85,94
82,131,14,8,16,6,111,98
131,173,17,7,18,4,97,103
138,131,8,15,17,8,95,108
131,28,18,9,10,14,95,86
131,110,20,9,6,23,112,107
124,131,15,15,21,9,96,91
187,131,14,18,22,11,92,98
14,131,11,22,23,11,97,102
68,131,23,14,24,11,110,87
47,131,22,15,25,13,125,131
131,40,27,15,32,9,86,110
131,152,27,17,32,13,91,120
131,138,28,19,19,27,81,96
131,103,29,21,29,20,113,106
131,166,30,22,12,35,107,104
0,131,34,16,31,22,91,86
159,131,25,25,31,23,95,83
131,159,31,24,26,26,101,102
138,131,25,29,31,25,107,100
40,131,42,15,32,28,107,102
103,131,36,26,32,29,103,101
131,61,33,31,17,46,96,94
131,110,34,31,16,50,101,122
131,0,34,32,46,18,100,118
110,131,17,51,35,33,104,119
131,180,36,33,36,34,108,110
131,187,36,34,38,32,85,103
131,117,36,35,45,24,94,106
194,131,40,31,36,36,121,117
96,131,17,55,36,38,100,95
152,131,54,20,36,39,96,85
131,166,36,40,21,54,97,106
131,152,36,41,55,21,86,85
131,194,37,43,46,34,90,78
132,104,0,1,1,0,100,117
188,132,3,3,3,3,85,94
132,139,4,3,2,5,88,87
146,132,7,3,8,4,79,108
132,174,10,6,11,8,101,116
167,132,6,13,10,7,93,96
125,132,12,8,11,7,89,93
132,139,12,8,7,12,101,119
153,132,14,9,12,9,87,96
132,48,13,9,9,15,88,99
118,132,20,6,13,11,101,87
132,188,13,12,14,13,98,88
132,195,14,12,4,23,80,86
132,118,14,13,21,6,85,111
132,181,15,14,17,14,85,101
202,132,22,9,15,15,106,102
132,111,15,16,16,17,98,100
132,167,15,17,11,22,96,103
83,132,28,7,16,18,98,99
132,8,17,19,13,22,109,100
132,1,19,20,33,9,97,111
15,132,15,26,19,21,90,105
132,160,20,21,19,22,111,120
111,132,22,21,20,22,105,111
139,132,18,23,21,22,92,99
132,153,22,22,28,16,103,99
118,132,34,11,23,22,90,97
104,132,26,21,25,22,102,121
132,69,26,22,29,20,133,139
132,41,27,23,27,22,82,94
167,132,17,33,27,24,104,103
132,125,27,26,25,28,102,97
160,132,27,26,28,26,107,105
139,132,21,32,28,27,98,104
202,132,40,14,29,28,84,91
132,181,30,28,32,25,103,91
90,132,36,26,33,30,107,117
125,132,28,37,35,30,94,96
132,202,0,0,0,0,91,106
202,132,2,0,0,2,102,90
202,132,3,0,0,3,87,81
175,133,1,0,0,0,94,113
133,203,1,1,2,0,100,110
133,189,1,2,1,1,94,103
133,105,2,3,2,3,84,104
161,133,3,3,2,4,81,94
133,42,4,4,4,3,93,98
182,133,4,6,5,6,91,102
168,133,3,8,6,6,102,104
133,168,7,6,3,9,97,108
147,133,10,6,9,9,105,104
91,133,7,10,9,10,81,87
133,154,11,10,9,11,117,110
203,133,18,4,12,10,96,99
133,161,13,10,8,15,84,99
189,133,14,6,13,11,99,86
133,35,13,12,13,10,92,90
133,23,14,12,13,12,84,104
133,84,14,13,17,6,89,105
133,91,14,14,12,14,97,93
140,133,18,10,15,14,94,83
133,147,15,16,24,6,96,107
112,133,14,13,15,17,84,106
133,105,17,17,18,16,91,110
175,133,13,21,17,18,94,100
133,70,19,18,20,14,95,103
84,133,24,11,20,19,97,104
9,133,10,31,21,19,98,109
133,154,23,19,17,25,84,102
182,133,24,22,24,20,125,80
196,133,15,30,24,21,99,104
126,133,23,22,25,21,77,86
133,126,26,21,23,23,99,105
168,133,17,32,26,22,91,98
30,133,25,22,27,22,86,100
2,133,29,20,28,22,93,89
133,112,29,24,19,30,97,93
140,133,30,22,30,24,101,115
42,133,29,27,31,25,110,107
70,133,32,23,31,26,102,91
133,2,32,29,34,27,88,89
133,49,32,30,37,22,84,113
133,119,33,31,47,17,87,110
133,182,34,33,36,31,93,100
133,203,34,34,52,16,97,104
161,133,23,48,35,36,88,103
133,126,36,36,33,38,105,95
35,133,42,30,37,36,107,116
126,133,33,40,38,36,102,112
105,133,50,24,39,36,113,96
196,133,26,49,39,37,83,95
133,140,40,37,44,32,97,90
112,133,29,49,41,38,100,107
133,112,42,38,30,50,96,80
120,134,0,0,0,0,101,98
134,162,0,1,1,0,84,87
183,134,2,0,0,2,104,93
134,64,0,6,2,4,91,115
106,134,1,4,0,7,100,81
197,134,3,5,0,8,105,111
134,141,1,9,6,3,88,102
134,197,1,11,4,6,98,105
134,176,1,12,8,4,93,103
3,134,6,6,1,14,83,89
134,162,2,15,9,7,112,104
183,134,13,5,3,15,103,109
134,127,4,16,16,3,98,130
134,106,5,19,13,8,103,93
134,85,6,20,17,6,94,117
134,92,6,21,8,17,86,82
155,134,13,16,8,23,103,105
134,155,11,24,13,19,99,110
10,134,12,23,12,25,113,102
134,204,13,26,30,8,105,109
134,113,14,27,18,21,72,98
113,134,19,21,14,28,112,97
141,134,28,19,16,29,95,90
134,148,16,30,33,16,87,102
134,176,16,32,29,21,81,103
134,155,17,33,18,33,96,79
57,134,15,38,18,33,100,105
36,134,24,27,19,33,105,99
43,134,19,38,19,36,98,110
162,134,33,23,20,36,86,109
134,10,21,36,23,36,79,99
134,31,21,38,11,47,88,114
134,99,21,39,31,29,91,104
134,57,21,41,15,46,104,92
71,134,26,35,22,41,112,110
176,134,38,27,22,42,108,101
148,134,46,20,22,43,96,87
134,204,22,44,49,16,104,122
134,183,22,45,44,22,86,124
92,134,19,50,22,47,88,89
134,197,23,49,31,40,95,102
134,120,23,50,53,19,96,116
50,134,31,43,23,51,92,83
134,141,24,52,47,29,102,130
127,134,51,28,24,54,111,99
134,106,24,55,35,44,94,101
134,113,24,57,40,41,136,130
135,177,0,1,0,1,102,120
163,135,2,0,0,2,91,118
11,135,1,2,1,3,100,102
135,18,2,4,2,3,97,96
135,25,3,4,1,6,86,97
135,72,3,5,3,3,97,100
135,51,3,6,2,7,102,100
121,135,3,8,4,7,81,98
135,121,5,10,3,12,82,97
149,135,10,5,5,11,112,96
65,135,14,4,5,13,123,104
93,135,7,14,5,14,98,93
135,170,5,15,10,10,92,101
86,135,10,12,6,16,100,95
135,198,6,18,11,12,111,119
135,86,6,19,12,13,105,87
135,191,8,20,21,6,97,91
58,135,4,24,9,20,71,88
135,149,10,20,20,11,97,101
114,135,5,24,10,21,94,100
72,135,23,8,11,21,98,92
25,135,13,22,12,22,105,101
135,184,13,24,25,11,82,97
142,135,29,5,13,25,116,105
156,135,12,28,13,26,85,94
135,205,14,26,25,16,69,89
135,11,14,27,22,20,92,106
135,32,14,28,21,20,101,99
135,128,17,30,32,16,102,103
191,135,36,12,17,31,100,90
170,135,17,31,17,33,90,102
135,177,19,33,35,19,82,87
156,135,14,41,21,34,100,97
135,191,23,35,42,16,93,82
135,58,24,36,13,48,89,83
51,135,12,50,26,36,82,87
184,135,43,21,27,36,91,109
18,135,23,42,28,36,85,88
100,135,39,28,30,36,88,84
135,142,31,37,55,13,91,106
114,135,15,54,31,38,106,104
128,135,44,25,31,39,92,89
135,107,31,40,27,45,91,107
121,135,41,31,31,41,89,94
135,128,36,43,51,28,111,105
177,135,49,31,37,43,92,109
136,59,0,1,0,1,99,71
129,136,2,2,2,1,108,92
136,108,2,2,2,2,96,84
136,12,4,2,6,1,114,118
136,87,4,3,5,3,91,92
136,73,4,5,8,3,97,96
66,136,7,5,5,5,89,93
136,178,6,5,8,4,93,102
122,136,8,6,6,6,111,89
199,136,4,12,7,7,87,101
94,136,10,8,8,8,103,94
26,136,12,6,8,9,119,122
136,171,9,9,7,15,106,114
122,136,14,8,10,10,94,90
136,122,10,11,15,8,98,104
136,206,10,12,20,5,81,118
199,136,6,18,10,13,104,94
108,136,11,14,10,14,88,97
164,136,12,17,11,14,89,110
150,136,17,13,12,15,109,104
59,136,2,30,12,16,91,95
136,115,13,16,11,20,80,94
129,136,14,20,13,17,96,109
192,136,18,16,14,17,87,92
185,136,16,19,15,17,93,91
136,206,15,18,30,6,98,123
87,136,22,14,15,20,83,98
136,157,16,20,8,30,86,74
171,136,15,23,17,21,103,101
157,136,9,32,17,22,82,109
136,38,18,24,11,32,108,86
19,136,23,21,19,24,95,92
5,136,26,20,21,25,96,105
33,136,20,31,23,25,81,84
136,101,26,26,23,28,89,103
185,136,28,28,27,28,114,117
136,45,28,30,35,25,95,100
136,199,28,33,23,37,106,94
73,136,35,28,29,33,91,84
164,136,18,49,32,35,69,103
136,5,33,35,34,33,85,92
136,33,33,36,30,39,94,85
136,122,35,36,49,22,91,113
136,115,35,37,24,48,93,84
115,136,25,50,37,38,85,98
150,136,50,28,39,39,102,99
178,136,41,39,40,40,101,92
136,157,40,41,16,65,96,101
137,130,0,0,0,0,104,113
137,151,1,1,1,0,75,88
179,137,0,3,2,2,81,97
207,137,4,1,3,2,100,86
137,53,3,3,2,3,114,109
137,60,4,3,0,5,109,84
137,95,5,4,3,5,87,74
193,137,4,5,7,4,102,96
137,186,7,6,7,5,102,111
109,137,6,8,7,8,83,108
137,116,9,8,5,11,112,103
88,137,6,12,11,8,111,110
109,137,7,12,11,9,98,105
137,158,12,9,10,12,107,101
165,137,6,14,13,9,105,112
144,137,19,3,14,9,106,99
123,137,15,10,15,10,89,109
179,137,6,19,16,10,100,103
137,193,17,10,18,10,82,73
137,144,18,10,24,4,74,104
172,137,11,17,18,11,94,93
67,137,20,8,18,12,104,98
137,158,18,13,12,22,102,100
60,137,7,23,19,13,83,100
165,137,10,23,20,13,86,91
137,39,21,13,8,24,101,89
137,46,22,13,20,14,104,115
137,67,22,14,23,11,93,101
137,116,22,15,11,25,94,92
137,193,23,15,23,16,79,88
95,137,17,24,25,16,107,114
137,165,26,16,13,27,106,101
137,179,27,16,14,28,112,107
137,109,29,17,18,25,93,103
158,137,16,33,29,18,88,96
193,137,27,21,30,18,102,95
137,200,33,19,20,32,127,94
137,179,34,19,20,32,105,112
130,137,23,32,34,22,88,111
137,102,36,22,34,22,102,92
137,172,38,24,25,36,110,109
137,123,41,24,36,29,104,112
137,20,42,25,33,34,97,83
137,6,43,26,32,37,86,95
137,27,43,27,35,34,100,107
53,137,27,43,43,28,101,108
137,151,44,28,43,30,95,108
200,137,31,42,44,29,100,108
137,172,45,29,29,45,112,82
102,137,46,29,46,29,88,95
137,207,47,29,58,17,103,109
137,144,49,31,66,14,105,99
151,137,2,3,3,2,98,93
137,151,3,3,3,3,104,91
137,144,0,0,0,0,94,106
180,152,0,0,0,0,110,112
152,159,1,0,1,1,114,106
138,152,2,0,2,0,83,107
187,152,2,1,3,0,105,124
152,166,4,0,3,1,112,100
124,152,5,2,6,0,96,121
110,152,1,6,7,0,94,99
152,103,8,0,4,4,112,118
152,14,9,2,4,7,103,90
152,110,10,2,4,9,112,95
138,152,7,5,11,2,89,117
0,152,7,4,12,2,91,98
152,131,13,2,11,5,96,102
21,152,7,7,13,3,95,92
166,152,4,12,13,6,80,113
96,152,6,13,14,6,108,115
152,145,15,6,5,17,87,86
152,96,17,7,6,16,103,89
152,61,20,7,10,17,120,110
28,152,10,16,21,7,98,79
82,152,22,9,21,8,96,80
152,201,21,9,26,4,82,97
187,152,14,19,23,10,104,85
47,152,21,14,26,11,87,109
7,152,8,29,27,11,57,112
152,138,28,11,15,22,115,110
152,145,30,11,13,25,92,99
117,152,27,13,30,12,94,101
152,173,31,12,26,14,100,109
131,152,27,17,32,13,91,120
166,152,10,33,33,13,100,95
40,152,35,11,33,14,109,96
180,152,22,27,33,15,106,114
201,152,40,8,34,15,89,88
152,194,34,16,32,19,101,95
152,187,35,16,27,25,93,84
152,40,36,16,38,13,92,86
152,89,38,16,34,21,75,89
152,124,39,19,32,24,106,101
145,152,21,37,40,19,95,108
152,117,41,19,36,21,90,87
152,110,42,19,14,46,90,79
152,201,44,19,51,11,99,83
152,68,45,19,37,26,101,87
152,82,46,19,43,21,88,94
152,173,46,20,47,18,96,91
110,152,17,52,48,20,98,106
159,152,35,33,50,20,137,139
152,131,54,20,36,39,96,85
152,138,55,22,34,44,87,95
117,152,53,26,55,24,120,106
201,152,61,19,55,25,93,102
152,166,56,25,24,57,116,108
194,152,0,0,0,0,109,100
194,152,1,0,0,1,78,87
152,194,1,1,1,1,100,86
152,194,2,1,1,2,88,93
194,152,2,2,2,2,90,106
152,173,0,2,2,0,92,98
152,173,0,3,3,0,86,122
1,153,0,0,0,0,88,87
153,167,0,1,0,0,91,100
132,153,0,0,0,2,71,96
48,153,1,1,1,2,82,99
104,153,2,1,2,2,89,92
153,104,3,2,2,2,90,99
188,153,3,4,5,4,82,90
160,153,4,4,6,4,83,99
153,132,7,4,6,3,90,87
153,83,10,5,9,4,87,98
153,90,10,6,10,4,80,92
22,153,10,4,10,7,98,96
146,153,9,5,10,8,91,96
153,29,11,8,7,11,89,100
153,111,11,9,9,10,106,101
153,132,14,9,12,9,87,96
153,55,14,10,17,7,90,95
153,48,15,11,11,15,85,92
69,153,18,10,16,12,78,86
125,153,17,15,18,13,92,103
153,174,19,13,21,12,96,91
153,118,20,13,26,7,85,100
111,153,18,17,20,14,85,104
153,15,23,14,12,26,85,88
153,111,23,16,21,19,105,102
41,153,21,18,24,16,94,97
